,Monthlycharges,Totalcharges,Multiplelines_0,Multiplelines_1,Multiplelines_2,Multiplelines_3,Multiplelines_4,Multiplelines_5,Multiplelines_6,Internetservice_0,Internetservice_1,Internetservice_2,Internetservice_3,Internetservice_4,Internetservice_5,Internetservice_6,Contract_0,Contract_1,Contract_2,Contract_3,Contract_4,Contract_5,Contract_6,Paymentmethod_0,Paymentmethod_1,Paymentmethod_2,Paymentmethod_3,Paymentmethod_4,Paymentmethod_5,Paymentmethod_6,CreatedTenure_0,CreatedTenure_1,CreatedTenure_2,CreatedTenure_3,CreatedTenure_4,CreatedTenure_5,CreatedTenure_6,Gender_Female,Gender_Male,Seniorcitizen_No,Seniorcitizen_Yes,Partner_No,Partner_Yes,Dependents_No,Dependents_Yes,Phoneservice_No,Phoneservice_Yes,Onlinesecurity_No,Onlinesecurity_Yes,Onlinebackup_No,Onlinebackup_Yes,Deviceprotection_No,Deviceprotection_Yes,Techsupport_No,Techsupport_Yes,Streamingtv_No,Streamingtv_Yes,Streamingmovies_No,Streamingmovies_Yes,Paperlessbilling_No,Paperlessbilling_Yes
0,29.85,29.85,0,2,0,0,1,1,1,2,2,0,2,2,0,0,2,1,0,0,0,2,0,0,0,0,1,2,3,0,4,3,1,1,2,3,4,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1
1,56.95,1889.5,2,1,2,2,0,2,0,2,2,0,2,2,0,0,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,4,0,0,3,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0
2,53.85,108.15,2,1,2,2,0,2,0,2,2,0,2,2,0,0,2,1,0,0,0,2,0,2,2,2,2,1,2,2,4,3,1,1,2,3,4,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1
3,42.3,1840.75,0,2,0,0,1,1,1,2,2,0,2,2,0,0,0,0,1,2,2,1,2,1,1,1,0,3,1,3,2,4,0,0,3,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0
4,70.7,151.65,2,1,2,2,0,2,0,1,0,2,0,1,1,1,2,1,0,0,0,2,0,0,0,0,1,2,3,0,4,3,1,1,2,3,4,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1
5,99.65,820.5,1,0,1,1,2,0,2,1,0,2,0,1,1,1,2,1,0,0,0,2,0,0,0,0,1,2,3,0,4,3,1,1,2,3,4,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1
6,89.1,1949.4,1,0,1,1,2,0,2,1,0,2,0,1,1,1,2,1,0,0,0,2,0,3,3,3,3,0,0,1,0,0,4,4,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1
7,29.75,301.9,0,2,0,0,1,1,1,2,2,0,2,2,0,0,2,1,0,0,0,2,0,2,2,2,2,1,2,2,4,3,1,1,2,3,4,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0
8,104.8,3046.05,1,0,1,1,2,0,2,1,0,2,0,1,1,1,2,1,0,0,0,2,0,0,0,0,1,2,3,0,2,4,0,0,3,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1
9,56.15,3487.95,2,1,2,2,0,2,0,2,2,0,2,2,0,0,0,0,1,2,2,1,2,1,1,1,0,3,1,3,1,1,2,3,4,4,3,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0
10,49.95,587.45,2,1,2,2,0,2,0,2,2,0,2,2,0,0,2,1,0,0,0,2,0,2,2,2,2,1,2,2,0,0,4,4,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1
11,18.95,326.8,2,1,2,2,0,2,0,0,1,1,1,0,2,2,1,2,2,1,1,0,1,3,3,3,3,0,0,1,0,0,4,4,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
12,100.35,5681.1,1,0,1,1,2,0,2,1,0,2,0,1,1,1,0,0,1,2,2,1,2,3,3,3,3,0,0,1,3,2,3,2,0,2,2,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,1,0
13,103.7,5036.3,1,0,1,1,2,0,2,1,0,2,0,1,1,1,2,1,0,0,0,2,0,1,1,1,0,3,1,3,3,2,3,2,0,2,2,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1
14,105.5,2686.05,2,1,2,2,0,2,0,1,0,2,0,1,1,1,2,1,0,0,0,2,0,0,0,0,1,2,3,0,2,4,0,0,3,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1
15,113.25,7895.15,1,0,1,1,2,0,2,1,0,2,0,1,1,1,1,2,2,1,1,0,1,3,3,3,3,0,0,1,1,1,2,3,4,4,3,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0
16,20.65,1022.95,2,1,2,2,0,2,0,0,1,1,1,0,2,2,0,0,1,2,2,1,2,2,2,2,2,1,2,2,3,2,3,2,0,2,2,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
17,106.7,7382.25,1,0,1,1,2,0,2,1,0,2,0,1,1,1,1,2,2,1,1,0,1,1,1,1,0,3,1,3,1,1,2,3,4,4,3,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,1,0
18,55.2,528.35,2,1,2,2,0,2,0,2,2,0,2,2,0,0,2,1,0,0,0,2,0,3,3,3,3,0,0,1,4,3,1,1,2,3,4,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0
19,90.05,1862.9,2,1,2,2,0,2,0,1,0,2,0,1,1,1,2,1,0,0,0,2,0,0,0,0,1,2,3,0,0,0,4,4,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1
20,39.65,39.65,0,2,0,0,1,1,1,2,2,0,2,2,0,0,2,1,0,0,0,2,0,0,0,0,1,2,3,0,4,3,1,1,2,3,4,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1
21,19.8,202.25,2,1,2,2,0,2,0,0,1,1,1,0,2,2,0,0,1,2,2,1,2,1,1,1,0,3,1,3,4,3,1,1,2,3,4,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
22,20.15,20.15,2,1,2,2,0,2,0,0,1,1,1,0,2,2,2,1,0,0,0,2,0,2,2,2,2,1,2,2,4,3,1,1,2,3,4,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
23,59.9,3505.1,1,0,1,1,2,0,2,2,2,0,2,2,0,0,1,2,2,1,1,0,1,3,3,3,3,0,0,1,3,2,3,2,0,2,2,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1
24,59.6,2970.3,2,1,2,2,0,2,0,2,2,0,2,2,0,0,2,1,0,0,0,2,0,3,3,3,3,0,0,1,3,2,3,2,0,2,2,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0
25,55.3,1530.6,2,1,2,2,0,2,0,2,2,0,2,2,0,0,2,1,0,0,0,2,0,1,1,1,0,3,1,3,2,4,0,0,3,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1
26,99.35,4749.15,1,0,1,1,2,0,2,1,0,2,0,1,1,1,2,1,0,0,0,2,0,0,0,0,1,2,3,0,2,4,0,0,3,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1
